titulo,subtitulo,fecha_extraccion
Netanyahu anunció que Israel ocupará un corredor en el sur de la Franja de Gaza,El primer ministro de Israel dijo que la medida buscar aumentar la presión para que el grupo terrorista Hamas entregue a los rehenes que mantiene cautivos,2025-04-02 16:14:33
EEUU aprobó la venta de fusiles militares a Ecuador,"Las nuevas tarifas, cuya entrada en vigor será inmediata, serán presentadas durante una ceremonia programada a las 16:00, hora del Este, en el Jardín de las Rosas de la Casa Blanca, según informó la portavoz presidencial Karoline Leavitt",2025-04-02 16:14:33
Temen que el asteroide que iba a impactar contra la Tierra ahora lo haga en la Luna,,2025-04-02 16:14:33
"""Día de la Liberación"": Trump se prepara para imponer aranceles recíprocos generalizados en Estados Unidos",,2025-04-02 16:14:33
Crece la tensión diplomática por el espionaje de Brasil a Paraguay vinculado a la represa de Itaipú,,2025-04-02 16:14:33
La Casa Blanca desmintió los rumores sobre una posible salida de Musk del Gobierno: “Se irá cuando complete su increíble trabajo”,,2025-04-02 16:14:33
Horner detalló los problemas internos que expulsaron a Lawson de Red Bull y reveló la reacción de Verstappen,,2025-04-02 16:14:33
Val Kilmer: la vez que encarnó a Jim Morrison y requirió terapia para salir del personaje,,2025-04-02 16:14:33
Siguen sin aparecer los siete pescadores artesanales cuyo barco naufragó en Chile,,2025-04-02 16:14:33
¿Sentir dolor después de entrenar es necesario para mejorar el rendimiento?,,2025-04-02 16:14:33
Fruta del dragón: el superalimento que fortalece el sistema inmunológico y tiene múltiples beneficios,,2025-04-02 16:14:33
"De qué murió Val Kilmer, la estrella de ‘Top Gun’ y ‘Batman Forever’",,2025-04-02 16:14:33
La última aparición de Val Kilmer en redes sociales: un homenaje a Batman,,2025-04-02 16:14:33
"Val Kilmer y las duras revelaciones sobre ‘Batman Forever’, el papel más frustrante de su carrera",,2025-04-02 16:14:33
Las 10 películas de Val Kilmer que celebran su vida y su legado en el cine,,2025-04-02 16:14:33
"Cher confesó su amor por Val Kilmer: “Estaba locamente enamorada, y me dejó”",,2025-04-02 16:14:33
Por qué se debería permitir que Marine Le Pen se presente a la presidencia,,2025-04-02 16:14:33
EEUU acusó al líder de la banda narco ecuatoriana Los Choneros y abrió la posibilidad de que sea extraditado,,2025-04-02 16:14:33
El deporte que apasionaba a Juan Pablo II: se escapó 115 veces para practicarlo sin ser descubierto,,2025-04-02 16:14:33
Siguen sin aparecer los siete pescadores artesanales cuyo barco naufragó en Chile,,2025-04-02 16:14:33
"Quién es Susan Crawford, la jueza de la Corte Suprema de Wisconsin que derrotó al candidato de Donald Trump y Elon Musk",,2025-04-02 16:14:33
"YouTube valdría 550.000 millones de dólares y sus ingresos superarían a los de Disney, según experto internacional",,2025-04-02 16:14:33
"“Nuestros hijos son la generación menos próspera que conocemos”, advierte el reconocido psicólogo Jonathan Haidt en su crítica a la infancia digital",,2025-04-02 16:14:33
"Nacieron el mismo día, en el mismo hospital, y fueron a la misma escuela: una emotiva historia de amor y coincidencias",,2025-04-02 16:14:33
Impacto en la Fórmula 1: un histórico ex piloto anunció que Max Verstappen dejará Red Bull,,2025-04-02 16:14:33
Pasaporte de Sebastián Marset: fiscalía pide datos a Cancillería por presunta destrucción de documentos,,2025-04-02 16:14:33
Un día nublado en Mont Saint-Michel: las increíbles vistas de la milenaria abadía francesa,,2025-04-02 16:14:33
Salen a la luz las primeras imágenes de la princesa Leonor en bikini en las playas de Montevideo,,2025-04-02 16:14:33
Por qué la anomalía magnética del Atlántico Sur preocupa a los científicos de la NASA,,2025-04-02 16:14:33
EEUU advirtió que las maniobras hostiles del régimen de China alrededor de Taiwán amenazan la estabilidad global,,2025-04-02 16:14:33
Lady Gabriella Windsor reanudó sus actividades reales a un año de la muerte de su marido,,2025-04-02 16:14:33
El correísmo amenaza con desdolarizar: esta vez lo hizo Ricardo Patiño con Rafael Correa en Russia Today,,2025-04-02 16:14:33
"La trágica muerte de Brandon, el hijo de Bruce Lee, mientras filmaba una película: una bala olvidada en el cañón de un arma",,2025-04-02 16:14:33
“Había una vez en Hollywood” expande su universo con nueva película: los actores estarán de regreso,,2025-04-02 16:14:33
Así es la vida de Macaulay Culkin hoy: sin licencia de conducir y aprendiendo a lavar la ropa,,2025-04-02 16:14:33
El oscuro descubrimiento científico en el fondo del Mediterráneo: “Ni un solo centímetro está limpio”,,2025-04-02 16:14:33
"20 años de la muerte de Juan Pablo II, el papa que marcó una era",,2025-04-02 16:14:33
La película que le advirtieron a Tom Cruise que no hiciera: “Vas a arruinar tu carrera”,,2025-04-02 16:14:33
"Cuál es la vitamina que cuida las uñas, protege la piel y combate el envejecimiento prematuro",,2025-04-02 16:14:33
¿Para qué sirve tomar jugo de arándanos?,,2025-04-02 16:14:33
Israel anunció la expansión de su operación militar en Gaza para establecer zonas de seguridad antiterroristas,,2025-04-02 16:14:33
Estados Unidos impuso sanciones contra empresas árabes y chinas vinculadas a la red de suministro iraní de drones y misiles,,2025-04-02 16:14:33
Estados Unidos mantiene la presión sobre los rebeldes hutíes para garantizar la navegación por el mar Rojo y proteger a Israel,,2025-04-02 16:14:33
‘The White Lotus’ se prepara para su gran final: así será el último episodio de la temporada,,2025-04-02 16:14:33
Encontraron un fósil de ancestro humano de hace 2 millones de años: su pequeño tamaño llamó la atención,,2025-04-02 16:14:33
Rusia dijo que no aceptará el plan de paz de Donald Trump mientras Zelensky sea presidente de Ucrania,,2025-04-02 16:14:33
El Reino Unido y Francia convocaron a una nueva reunión de la coalición de apoyo a Ucrania en la sede de la OTAN,,2025-04-02 16:14:33
Rusia lanzó una ofensiva aérea sobre el este de Ucrania después de un día de pausa: un muerto y 10 heridos,,2025-04-02 16:14:33
La jueza Susan Crawford ganó en Wisconsin y consolida la mayoría liberal en la Corte Suprema estatal,,2025-04-02 16:14:33
EEUU lanza una seria advertencia para quienes viajen pronto a este destino turístico caribeño,,2025-04-02 16:14:33
Hombres demandan a plataforma para adultos tras descubrir que sus mensajes no eran respondidos por las modelos,,2025-04-02 16:14:33
“CartelTok”: cómo los cárteles mexicanos utilizan las redes sociales para reclutar jóvenes en EEUU,,2025-04-02 16:14:33
"“Porsiemprismo”: por qué nada llega a su fin y todo se reinicia, desde “Star Wars” a Donald Trump",,2025-04-02 16:14:33
“Cada día es una vida”: qué hay detrás de las voces prohibidas e inquietantes de los criminales,,2025-04-02 16:14:33
Maduro utiliza el regreso de los migrantes venezolanos como propaganda propia: anunció la inminente llegada de otro avión,,2025-04-02 16:14:33
María Corina Machado y Edmundo González Urrutia dijeron estar listos para defender los derechos sobre el Esequibo,,2025-04-02 16:14:33
El canciller chileno rechazó las acusaciones del régimen de Maduro sobre el caso Ronald Ojeda,,2025-04-02 16:14:33
"Ex presidente de Bolivia criticó a Evo Morales: “Cuando uno hace partidos con su nombre, ya le patinó la cabeza”",,2025-04-02 16:14:33
